Name,Fasta_Nr,Name,Short,species,place,Time,Food,Original_Food,Temp,part,GENOT,Exp_temp,Exp_time,Exp_food,Experiment,aniwat,,,,,,
X66,66,AVH_1,AVH_1_X66,Adineta vaga,AV,1,honey,honey,20,whole,rot,N,N,Y,food,rotifer,,,,,,
X12,12,AVH_2,AVH_2_X12,Adineta vaga,AV,1,honey,honey,18,whole,rot,N,N,Y,food,rotifer,,,,,,
X60,60,AVK_1,AVK_1_X60,Adineta vaga,AV,1,Algae,Algae,20,whole,rot,N,N,Y,food,rotifer,,,,,,
X61,61,AVK_2,AVK_2_X61,Adineta vaga,AV,1,Algae,Algae,20,whole,rot,N,N,Y,food,rotifer,,,,,,
X63,63,AVS_1,AVS_1_X63,Adineta vaga,AV,1,Salad,Salad,20,whole,rot,N,N,Y,food,rotifer,,,,,,
X64,64,AVS_2,AVS_2_X64,Adineta vaga,AV,1,Salad,Salad,20,whole,rot,N,N,Y,food,rotifer,,,,,,
ERS2473696,ERS2473696,ERS2473696,ERS2473696,Daphnia magna,ebert,0,Scenedesmus obliquus,Scenedesmus obliquus,20,whole,EB,N,Y,N,Time,daphnia,,,,,,
ERS2473697,ERS2473697,ERS2473697,ERS2473697,Daphnia magna,ebert,0,Scenedesmus obliquus,Scenedesmus obliquus,20,whole,EB,N,Y,N,Time,daphnia,,,,,,
ERS2473698,ERS2473698,ERS2473698,ERS2473698,Daphnia magna,ebert,0,Scenedesmus obliquus,Scenedesmus obliquus,20,whole,EB,N,Y,N,Time,daphnia,,,,,,
ERS2473704,ERS2473704,ERS2473704,ERS2473704,Daphnia magna,ebert,3,Scenedesmus obliquus,Scenedesmus obliquus,20,whole,EB,N,Y,N,Time,daphnia,,,,,,
ERS2473705,ERS2473705,ERS2473705,ERS2473705,Daphnia magna,ebert,3,Scenedesmus obliquus,Scenedesmus obliquus,20,whole,EB,N,Y,N,Time,daphnia,,,,,,
ERS2473706,ERS2473706,ERS2473706,ERS2473706,Daphnia magna,ebert,3,Scenedesmus obliquus,Scenedesmus obliquus,20,whole,EB,N,Y,N,Time,daphnia,,,,,,
ERS2473722,ERS2473722,ERS2473722,ERS2473722,Daphnia magna,ebert,9,Scenedesmus obliquus,Scenedesmus obliquus,20,whole,EB,N,Y,N,Time,daphnia,,,,,,
ERS2473723,ERS2473723,ERS2473723,ERS2473723,Daphnia magna,ebert,9,Scenedesmus obliquus,Scenedesmus obliquus,20,whole,EB,N,Y,N,Time,daphnia,,,,,,
ERS2473724,ERS2473724,ERS2473724,ERS2473724,Daphnia magna,ebert,9,Scenedesmus obliquus,Scenedesmus obliquus,20,whole,EB,N,Y,N,Time,daphnia,,,,,,
X22,22,LIH_18A,LIH_18A_X22,animal,LI,75,honey,Algae,18,whole,rot,Y,N,Y,Temp,rotifer,mono,cult,19,R1.fastq,LIH_18A_19,Lecane inermis_X22
X23,23,LIH_18B,LIH_18B_X23,animal,LI,75,honey,Algae,18,whole,rot,Y,N,Y,Temp,rotifer,mono,cult,21,R1.fastq,LIH_18B_21,Lecane inermis_X23
