X,Number,Fastq_NR,Sequence_file_name,short_name_uparse,short_name_ngs,short,species,indval,Place,genus,spec_place,substrate,dataset,couples,couplesRW,sppl,rot_crus,Taxa,env_cult,ani_cult,NR,R1_R2,name,uni
X1,1,1,2ID792-G05-39-A989-PA_S21_L001_R1_001.fastq,1_R1.fastq,A989_PA,A989_PA_X1,Polyarthra,NA,A989,,PolyarthraA989,animal,rot,A989Polyarthra,A989Polyarthra,PolyarthraA989,rotifer,mono,env,rotifer_env,1,R1.fastq,A989_PA_1,Polyarthra_X1
X10,2,10,ID435-3_S39_L001_R1_001.fastq,3_39,LIH_18A,LIH_18AX10,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIH,animal,rot,L001Lecane inermis,LIH,Lecane inermisL001,rotifer,mono,cult,rotifer_cult,75,R1.fastq,LIH_18A_75,Lecane inermis_X10
X101,4,101,ID792-G06-47-A992-SB_S22_L001_R1_001.fastq,101_R1.fastq,A992-SB-S22,A992-SB-S22_X101,SimoV,SimoV,A992,Simocephalus,SimocephalusA992,animal,extra,A992Simo,A992Simo,SimocephalusA992,crustacean,sim,env,crustacean_env,193,R1.fastq,A992-SB-S22_193,Simocephalus_X101
X103,6,103,ID792-G07-55-A995-CB_S23_L001_R1_001.fastq,103_R1.fastq,A995-CB,A995-CB_X103,Diaphanosoma brachyurum,Diapha,A995,,Diapha,animal,extra,,,large calanoid copepodA995,crustacean,cop,env,crustacean_env,197,R1.fastq,A995-CB_197,large calanoid copepod_X103
X104,7,104,ID792-G07-55-A995-CB_S43_L001_R1_001.fastq,104_R1.fastq,A995-CB,A995-CB_X104,Diaphanosoma brachyurum,Diapha,A995,,Diapha,animal,extra,,,large calanoid copepodA995,crustacean,cop,env,crustacean_env,199,R1.fastq,A995-CB_199,large calanoid copepod_X104
X105,8,105,ID792-G08-63-W-A989_S24_L001_R1_001.fastq,105_R1.fastq,A989-A989,A989-A989_X105,water,NA,A989,,waterA989,water,rot,A989water,A989Polyarthra,waterA989,water,,env,water_env,201,R1.fastq,A989-A989_201,water_X105
X106,9,106,ID792-G08-63-W-A989_S44_L001_R1_001.fastq,106_R1.fastq,A989-A989,A989-A989_X106,water,NA,A989,,waterA989,water,rot,A989water,A989Polyarthra,waterA989,water,,env,water_env,203,R1.fastq,A989-A989_203,water_X106
X107,10,107,ID792-H05-40-A989-PB_S25_L001_R1_001.fastq,107_R1.fastq,A989-PB,A989-PB_X107,Polyarthra,NA,A989,,PolyarthraA989,animal,rot,A989Polyarthra,A989Polyarthra,PolyarthraA989,rotifer,mono,env,rotifer_env,205,R1.fastq,A989-PB_205,Polyarthra_X107
X109,12,109,ID792-H06-48-A993-CA_S14_L001_R1_001.fastq,109_R1.fastq,A993-CA,A993-CA_X109,large calanoid copepod,Copepod,A993,,large calanoid copepodA993,animal,extra,A993large calanoid copepod,A993large calanoid copepod,large calanoid copepodA993,crustacean,cop,env,crustacean_env,209,R1.fastq,A993-CA_209,large calanoid copepod_X109
X11,13,11,ID435-4_S40_L001_R1_001.fastq,4_40,LIH_18B,LIH_18BX11,Lecane inermis,Lecane inermis,L001,,Lecane inermisLIH,animal,rot,L001Lecane inermis,LIH,Lecane inermisL001,rotifer,mono,cult,rotifer_cult,99,R1.fastq,LIH_18B_99,Lecane inermis_X11
