X,Number,species,shape,spec_place,substrate,dataset,sppl,rot_crus,env_cult,uni
X1,1,Polyarthra,mono,PolyarthraA989,animal,rot,PolyarthraA989,rotifer,env,Polyarthra_X1
X10,2,Lecane inermis,mono,Lecane inermisLIH,animal,rot,Lecane inermisL001,rotifer,cult,Lecane inermis_X10
X101,4,SimoV,clad,SimocephalusA992,animal,extra,SimocephalusA992,crustacean,env,Simocephalus_X101
X103,6,Diaphanosoma brachyurum,clad,Diapha,animal,extra,large calanoid copepodA995,crustacean,env,large calanoid copepod_X103
X104,7,Diaphanosoma brachyurum,clad,Diapha,animal,extra,large calanoid copepodA995,crustacean,env,large calanoid copepod_X104
X107,10,Polyarthra,mono,PolyarthraA989,animal,rot,PolyarthraA989,rotifer,env,Polyarthra_X107
X109,12,large calanoid copepod,cop,large calanoid copepodA993,animal,extra,large calanoid copepodA993,crustacean,env,large calanoid copepod_X109
X11,13,Lecane inermis,mono,Lecane inermisLIH,animal,rot,Lecane inermisL001,rotifer,cult,Lecane inermis_X11
X110,14,large calanoid copepod,cop,large calanoid copepodA993,animal,extra,large calanoid copepodA993,crustacean,env,large calanoid copepod_X110
X111,15,Mesocyclops_leuckarti,cop,CopepodA995,animal,extra,CopepodA995,crustacean,env,Copepod_X111
X112,16,Mesocyclops_leuckarti,cop,CopepodA995,animal,extra,CopepodA995,crustacean,env,Copepod_X112
X123,19,Epiphanes senta,mono,Epiphanes sentaA962,animal,rot,Epiphanes sentaA962,rotifer,env,Epiphanes senta_X114
X124,20,Epiphanes senta,mono,Epiphanes sentaA962,animal,rot,Epiphanes sentaA962,rotifer,env,Epiphanes senta_X115
X125,21,Epiphanes senta,mono,Epiphanes sentaA962,animal,rot,Epiphanes sentaA962,rotifer,env,Epiphanes senta_X116
X127,23,Rotaria macrura,bdell,Rotaria macruraSt14,animal,rot,Rotaria macruraSt14,rotifer,env,Rotaria macrura_X118
X128,24,Rotaria macrura,bdell,Rotaria macruraSt14,animal,rot,Rotaria macruraSt14,rotifer,env,Rotaria macrura_X119
X129,25,Rotaria macrura,bdell,Rotaria macruraSt14,animal,rot,Rotaria macruraSt14,rotifer,env,Rotaria macrura_X120
X22,37,Lecane inermis,mono,Lecane inermisLIK,animal,rot,Lecane inermisL001,rotifer,cult,Lecane inermis_X27
X23,38,Lecane inermis,mono,Lecane inermisLIK,animal,rot,Lecane inermisL001,rotifer,cult,Lecane inermis_X28
X27,41,Lecane inermis,mono,Lecane inermisLIK,animal,rot,Lecane inermisL001,rotifer,cult,Lecane inermis_X29
X28,42,Lecane inermis,mono,Lecane inermisLIK,animal,rot,Lecane inermisL001,rotifer,cult,Lecane inermis_X34
X29,43,Lecane inermis,mono,Lecane inermisLIK,animal,rot,Lecane inermisL001,rotifer,cult,Lecane inermis_X35
X39,51,Lecane inermis,mono,Lecane inermisLIH,animal,rot,Lecane inermisL001,rotifer,cult,Lecane inermis_X43
X4,52,Rotaria macrura,bdell,Rotaria macruraRM,animal,rot,Rotaria macruraRM,rotifer,cult,Rotaria macrura_X4
